address,price,floor,area,year_built,rooms,elevator,parking,warehouse,district_code,price_per_sqm,building_age,area_level,area_bin,area_x_rooms,elevator_high_floor,area_bin_encoded,area_level_encoded,area_level_num,area_bin_num
آذری,2200000000.0,0,44,1380,1,0,1,1,4,50000000.0,24,Low,<50,44,0,4,0,1,1
سلیمانی,2850000000.0,0,50,1383,1,0,1,1,118,57000000.0,21,Low,<50,50,0,4,0,1,1
شهر‌زیبا,1700000000.0,1,50,1402,1,1,1,1,154,34000000.0,2,Low,<50,50,0,4,0,1,1
شریف,13800000000.0,20,172,1402,3,1,1,1,131,80232558.14,2,Medium,150-200,516,1,1,2,2,4
پاسداران,4700000000.0,9,127,1403,2,1,1,1,213,37007874.02,1,Low,100-150,254,1,0,0,1,3
شهر‌زیبا,1400000000.0,1,49,1401,1,1,1,1,154,28571428.57,3,Low,<50,49,0,4,0,1,1
کریم‌آباد,1150000000.0,6,56,1396,1,1,1,0,225,20535714.29,8,Low,50-100,56,1,3,0,1,2
شهر زیبا,1380000000.0,1,61,1401,2,1,1,1,134,22622950.82,3,Low,50-100,122,0,3,0,1,2
جیحون,7750000000.0,7,90,1395,2,1,1,1,61,86111111.11,9,Medium,50-100,180,1,3,2,2,2
بلورسازی,2100000000.0,1,40,1378,1,0,1,1,38,52500000.0,26,Low,<50,40,0,4,0,1,1
شهر زیبا,1490000000.0,1,49,1400,1,1,1,1,134,30408163.27,4,Low,<50,49,0,4,0,1,1
جنت‌آباد شمالی,7700000000.0,4,100,1387,2,0,1,1,56,77000000.0,17,Medium,50-100,200,0,3,2,2,2
نیلوفر,15000000000.0,1,115,1385,2,1,1,1,202,130434782.6,19,Medium,100-150,230,0,0,2,2,3
سعادت‌آباد,22000000000.0,2,133,1388,3,1,1,1,114,165413533.8,16,Luxury,100-150,399,0,0,1,3,3
سلیمانی,2750000000.0,1,50,1384,1,0,1,1,118,55000000.0,20,Low,<50,50,0,4,0,1,1
شریف,5800000000.0,18,131,1403,3,1,1,1,131,44274809.16,1,Low,100-150,393,1,0,0,1,3
خواجه نظام الملک,3550000000.0,5,43,1388,1,1,1,1,82,82558139.53,16,Medium,<50,43,1,4,2,2,1
باغ فیض,16500000000.0,1,115,1403,2,1,1,1,35,143478260.9,1,Medium,100-150,230,0,0,2,2,3
جمهوری,3580000000.0,2,55,1383,2,0,1,1,54,65090909.09,21,Medium,50-100,110,0,3,2,2,2
چیتگر,1500000000.0,5,100,1403,2,1,1,1,220,15000000.0,1,Low,50-100,200,1,3,0,1,2
مرزداران,8900000000.0,3,58,1388,1,1,1,1,185,153448275.9,16,Luxury,50-100,58,0,3,1,3,2
نیاوران,118000000000.0,8,300,1403,4,1,1,1,200,393333333.3,1,Luxury,200+,1200,1,2,1,3,5
دریاچه شهدای خلیج فارس,16000000000.0,17,160,1402,3,1,1,1,93,100000000.0,2,Medium,150-200,480,1,1,2,2,4
کریم‌آباد,1890000000.0,3,80,1403,2,1,1,1,225,23625000.0,1,Low,50-100,160,0,3,0,1,2
کریم‌آباد,2550000000.0,3,107,1402,2,1,1,1,225,23831775.7,2,Low,100-150,214,0,0,0,1,3
سیدخندان,22270000000.0,1,131,1403,3,1,1,1,123,170000000.0,1,Luxury,100-150,393,0,0,1,3,3
یافت‌آباد,4050000000.0,1,90,1403,2,1,1,1,235,45000000.0,1,Low,50-100,180,0,3,0,1,2
قیطریه,21000000000.0,4,115,1398,3,1,1,1,177,182608695.7,6,Luxury,100-150,345,1,0,1,3,3
نیاوران,32000000000.0,8,180,1403,3,0,1,1,200,177777777.8,1,Luxury,150-200,540,0,1,1,3,4
استاد معین,2150000000.0,3,74,1396,2,1,1,1,14,29054054.05,8,Low,50-100,148,0,3,0,1,2
شهر زیبا,2800000000.0,1,80,1399,2,1,1,1,134,35000000.0,5,Low,50-100,160,0,3,0,1,2
دکتر هوشیار,5200000000.0,2,75,1383,2,0,1,1,98,69333333.33,21,Medium,50-100,150,0,3,2,2,2
شهران شمالی,7000000000.0,2,68,1395,2,1,1,1,137,102941176.5,9,Medium,50-100,136,0,3,2,2,2
استاد معین,2500000000.0,3,60,1393,2,1,1,1,14,41666666.67,11,Low,50-100,120,0,3,0,1,2
شهر زیبا,1380000000.0,2,54,1401,1,1,1,1,134,25555555.56,3,Low,50-100,54,0,3,0,1,2
الهیه,4850000000.0,0,40,1380,1,0,1,1,20,121250000.0,24,Medium,<50,40,0,4,2,2,1
نواب,2400000000.0,1,39,1380,1,0,1,1,199,61538461.54,24,Low,<50,39,0,4,0,1,1
ستارخان,15000000000.0,4,97,1403,2,1,1,1,111,154639175.3,1,Luxury,50-100,194,1,3,1,3,2
پونک,16000000000.0,3,110,1386,2,1,1,1,217,145454545.5,18,Medium,100-150,220,0,0,2,2,3
بلورسازی,1800000000.0,1,40,1377,1,0,1,1,38,45000000.0,27,Low,<50,40,0,4,0,1,1
بلورسازی,3100000000.0,2,47,1394,1,1,1,1,38,65957446.81,10,Medium,<50,47,0,4,2,2,1
سعادت‌آباد,22000000000.0,2,124,1388,2,1,1,1,114,177419354.8,16,Luxury,100-150,248,0,0,1,3,3
